gazetteerId_村志代码,villageInnerId_村庄内部代码,countyId_县区代码,cityId_市代码,provinceId_省代码
116,116,37.0,189,25
117,117,264.0,158,31
118,118,479.0,196,21
119,119,269.0,165,21
120,120,427.0,43,3
121,121,364.0,140,20
123,123,371.0,215,31
124,124,306.0,24,23
125,125,225.0,82,22
126,126,364.0,140,20
127,127,35.0,127,29
128,128,310.0,174,19
129,129,35.0,127,29
130,130,214.0,127,29
131,131,514.0,23,9
132,132,267.0,209,10
133,133,83.0,54,7
134,134,507.0,48,8
135,135,118.0,26,3
136,136,32.0,1,20
137,137,76.0,136,22
138,138,499.0,186,11
139,139,488.0,216,25
140,140,488.0,216,25
141,141,407.0,184,3
142,142,298.0,201,8
143,143,375.0,80,5
144,144,412.0,66,9
145,145,557.0,91,6
146,146,193.0,70,6
147,147,289.0,214,9
148,148,114.0,44,3
149,149,121.0,176,29
150,150,384.0,150,15
151,151,539.0,153,17
152,152,401.0,128,20
153,153,376.0,183,16
154,154,476.0,28,21
156,156,394.0,113,22
157,157,321.0,197,27
158,158,479.0,196,21
159,159,511.0,177,28
160,160,122.0,176,29
161,161,489.0,216,25
162,162,488.0,216,25
163,163,246.0,211,30
164,164,297.0,83,23
165,165,140.0,5,16
166,166,3.0,54,7
167,167,241.0,44,3
168,168,144.0,184,3
169,169,15.0,37,5
170,170,121.0,176,29
171,171,167.0,64,21
172,172,528.0,83,23
173,173,200.0,75,6
174,174,7.0,198,19
176,176,106.0,41,8
177,177,444.0,99,2
178,178,83.0,54,7
179,179,231.0,69,13
180,180,145.0,144,31
181,181,397.0,18,12
183,183,547.0,116,17
184,184,47.0,153,17
185,185,401.0,128,20
186,186,554.0,136,22
187,187,456.0,97,18
188,188,541.0,137,12
189,189,237.0,78,17
190,190,338.0,155,17
191,191,168.0,131,12
192,192,266.0,177,28
193,193,102.0,115,12
194,194,270.0,14,19
195,195,129.0,51,2
196,196,411.0,111,28
197,197,318.0,206,11
198,198,347.0,111,28
199,199,194.0,163,15
200,200,511.0,177,28
201,201,210.0,163,15
203,203,170.0,27,4
204,204,462.0,146,2
205,205,137.0,16,6
206,206,129.0,51,2
207,207,249.0,91,6
208,208,227.0,91,6
209,209,161.0,99,2
210,210,311.0,146,2
211,211,250.0,21,2
212,212,349.0,91,6
213,213,184.0,91,6
214,214,161.0,99,2
215,215,187.0,99,2
216,216,478.0,91,6
217,217,98.0,91,6
218,218,498.0,4,1
219,219,67.0,89,2
220,220,485.0,156,2
221,221,138.0,4,1
222,222,337.0,27,4
223,223,284.0,110,2
224,224,219.0,27,4
225,225,388.0,27,4
226,226,130.0,50,2
227,227,125.0,27,4
228,228,334.0,4,1
229,229,187.0,99,2
230,230,334.0,4,1
231,231,334.0,4,1
232,232,13.0,27,4
233,233,133.0,76,12
234,234,6.0,6,12
235,235,254.0,21,2
236,236,523.0,27,4
238,238,334.0,4,1
239,239,389.0,99,2
241,241,265.0,27,4
242,242,484.0,4,1
243,243,230.0,27,4
244,244,138.0,4,1
245,245,33.0,132,19
246,246,484.0,4,1
247,247,484.0,4,1
248,248,461.0,27,4
249,249,498.0,4,1
250,250,484.0,4,1
251,251,80.0,51,2
252,252,230.0,27,4
253,253,518.0,4,1
254,254,484.0,4,1
255,255,484.0,4,1
256,256,230.0,27,4
257,257,498.0,4,1
258,258,161.0,99,2
